Date,Copper_Price_USD,Volume,YearMonth
2023-03-13,4.069499969482422,842,2023-03
2023-03-14,4.010499954223633,923,2023-03
2023-03-15,3.8564999103546143,875,2023-03
2023-03-16,3.885499954223633,592,2023-03
2023-03-17,3.9135000705718994,498,2023-03
2023-03-20,3.9755001068115234,532,2023-03
2023-03-21,4.018499851226807,571,2023-03
2023-03-22,4.06850004196167,641,2023-03
2023-03-23,4.145999908447266,465,2023-03
2023-03-24,4.101500034332275,471,2023-03
2023-03-27,4.104499816894531,566,2023-03
2023-03-28,4.111999988555908,496,2023-03
2023-03-29,4.114999771118164,636,2023-03
2023-03-30,4.0904998779296875,636,2023-03
2023-03-31,4.104499816894531,520,2023-03
2023-04-03,4.059500217437744,398,2023-04
2023-04-04,3.9835000038146973,372,2023-04
2023-04-05,3.997999906539917,274,2023-04
2023-04-06,4.026000022888184,0,2023-04
2023-04-10,3.9865000247955322,230,2023-04
2023-04-11,4.024499893188477,337,2023-04
2023-04-12,4.084499835968018,288,2023-04
2023-04-13,4.124000072479248,539,2023-04
2023-04-14,4.107500076293945,484,2023-04
2023-04-17,4.065999984741211,374,2023-04
2023-04-18,4.0894999504089355,326,2023-04
2023-04-19,4.072000026702881,494,2023-04
2023-04-20,4.021999835968018,471,2023-04
2023-04-21,3.9800000190734863,583,2023-04
2023-04-24,3.953000068664551,522,2023-04
2023-04-25,3.8459999561309814,671,2023-04
2023-04-26,3.8499999046325684,38282,2023-04
2023-04-27,3.864500045776367,6253,2023-04
2023-04-28,3.869999885559082,1453,2023-04
2023-05-01,3.9170000553131104,897,2023-05
2023-05-02,3.8480000495910645,820,2023-05
2023-05-03,3.8315000534057617,682,2023-05
2023-05-04,3.8499999046325684,847,2023-05
2023-05-05,3.871500015258789,472,2023-05
2023-05-08,3.9179999828338623,327,2023-05
2023-05-09,3.8889999389648438,396,2023-05
2023-05-10,3.828000068664551,545,2023-05
2023-05-11,3.697499990463257,802,2023-05
2023-05-12,3.7165000438690186,318,2023-05
2023-05-15,3.737499952316284,476,2023-05
2023-05-16,3.6545000076293945,544,2023-05
2023-05-17,3.743000030517578,530,2023-05
2023-05-18,3.68149995803833,704,2023-05
2023-05-19,3.7225000858306885,522,2023-05
2023-05-22,3.6740000247955322,614,2023-05
2023-05-23,3.6414999961853027,367,2023-05
2023-05-24,3.553499937057495,553,2023-05
2023-05-25,3.5804998874664307,546,2023-05
2023-05-26,3.6735000610351562,660,2023-05
2023-05-30,3.6579999923706055,1442,2023-05
2023-05-31,3.63100004196167,484,2023-05
2023-06-01,3.7065000534057617,403,2023-06
2023-06-02,3.7225000858306885,326,2023-06
2023-06-05,3.762500047683716,475,2023-06
2023-06-06,3.7669999599456787,343,2023-06
2023-06-07,3.754499912261963,430,2023-06
2023-06-08,3.7964999675750732,364,2023-06
2023-06-09,3.7890000343322754,260,2023-06
2023-06-12,3.750499963760376,348,2023-06
2023-06-13,3.8285000324249268,407,2023-06
2023-06-14,3.865999937057495,310,2023-06
2023-06-15,3.8965001106262207,369,2023-06
2023-06-16,3.884500026702881,368,2023-06
2023-06-20,3.878499984741211,347,2023-06
2023-06-21,3.9110000133514404,409,2023-06
2023-06-22,3.8884999752044678,407,2023-06
2023-06-23,3.805999994277954,376,2023-06
2023-06-26,3.7864999771118164,455,2023-06
2023-06-27,3.7815001010894775,504,2023-06
2023-06-28,3.7204999923706055,22765,2023-06
2023-06-29,3.677500009536743,3999,2023-06
2023-06-30,3.740999937057495,1048,2023-06
2023-07-03,3.7790000438690186,1069,2023-07
2023-07-05,3.753499984741211,652,2023-07
2023-07-06,3.7200000286102295,711,2023-07
2023-07-07,3.7669999599456787,664,2023-07
2023-07-10,3.7715001106262207,686,2023-07
2023-07-11,3.753499984741211,530,2023-07
2023-07-12,3.8420000076293945,733,2023-07
2023-07-13,3.929500102996826,704,2023-07
2023-07-14,3.921999931335449,486,2023-07
2023-07-17,3.8320000171661377,390,2023-07
2023-07-18,3.815999984741211,492,2023-07
2023-07-19,3.799499988555908,510,2023-07
2023-07-20,3.817500114440918,729,2023-07
2023-07-21,3.802999973297119,594,2023-07
2023-07-24,3.8405001163482666,627,2023-07
2023-07-25,3.9019999504089355,941,2023-07
2023-07-26,3.890500068664551,795,2023-07
2023-07-27,3.8635001182556152,544,2023-07
2023-07-28,3.9170000553131104,1510,2023-07
2023-07-31,3.994499921798706,1430,2023-07
2023-08-01,3.8935000896453857,1186,2023-08
2023-08-02,3.827500104904175,1122,2023-08
2023-08-03,3.875999927520752,1055,2023-08
2023-08-04,3.8450000286102295,457,2023-08
2023-08-07,3.812999963760376,480,2023-08
2023-08-08,3.747999906539917,706,2023-08
2023-08-09,3.7674999237060547,570,2023-08
2023-08-10,3.750999927520752,668,2023-08
2023-08-11,3.7144999504089355,753,2023-08
2023-08-14,3.7244999408721924,540,2023-08
2023-08-15,3.6614999771118164,620,2023-08
2023-08-16,3.6514999866485596,671,2023-08
2023-08-17,3.685499906539917,524,2023-08
2023-08-18,3.6989998817443848,299,2023-08
2023-08-21,3.7119998931884766,320,2023-08
2023-08-22,3.750499963760376,381,2023-08
2023-08-23,3.803499937057495,317,2023-08
2023-08-24,3.7674999237060547,472,2023-08
2023-08-25,3.759999990463257,251,2023-08
2023-08-28,3.753999948501587,549,2023-08
2023-08-29,3.7929999828338623,29529,2023-08
2023-08-30,3.7850000858306885,7893,2023-08
2023-08-31,3.7725000381469727,2069,2023-08
2023-09-01,3.8125,822,2023-09
2023-09-05,3.811000108718872,944,2023-09
2023-09-06,3.748500108718872,837,2023-09
2023-09-07,3.7260000705718994,787,2023-09
2023-09-08,3.680500030517578,1120,2023-09
2023-09-11,3.7699999809265137,846,2023-09
2023-09-12,3.752000093460083,460,2023-09
2023-09-13,3.75600004196167,509,2023-09
2023-09-14,3.7825000286102295,545,2023-09
2023-09-15,3.7634999752044678,556,2023-09
2023-09-18,3.741499900817871,674,2023-09
2023-09-19,3.7139999866485596,717,2023-09
2023-09-20,3.746500015258789,842,2023-09
2023-09-21,3.6665000915527344,628,2023-09
2023-09-22,3.6654999256134033,586,2023-09
2023-09-25,3.6494998931884766,1582,2023-09
2023-09-26,3.625,702,2023-09
2023-09-27,3.627000093460083,1228,2023-09
2023-09-28,3.694499969482422,935,2023-09
2023-09-29,3.7260000705718994,815,2023-09
2023-10-02,3.631999969482422,621,2023-10
2023-10-03,3.615499973297119,525,2023-10
2023-10-04,3.5840001106262207,395,2023-10
2023-10-05,3.546999931335449,376,2023-10
2023-10-06,3.624500036239624,326,2023-10
2023-10-09,3.6424999237060547,318,2023-10
2023-10-10,3.631999969482422,331,2023-10
2023-10-11,3.614000082015991,433,2023-10
2023-10-12,3.5940001010894775,349,2023-10
2023-10-13,3.5799999237060547,388,2023-10
2023-10-16,3.5869998931884766,298,2023-10
2023-10-17,3.575500011444092,375,2023-10
2023-10-18,3.5820000171661377,340,2023-10
2023-10-19,3.5915000438690186,418,2023-10
2023-10-20,3.5420000553131104,760,2023-10
2023-10-23,3.572999954223633,387,2023-10
2023-10-24,3.609999895095825,645,2023-10
2023-10-25,3.572000026702881,501,2023-10
2023-10-26,3.56850004196167,556,2023-10
2023-10-27,3.634000062942505,847,2023-10
2023-10-30,3.6494998931884766,665,2023-10
2023-10-31,3.6414999961853027,771,2023-10
2023-11-01,3.6449999809265137,546,2023-11
2023-11-02,3.6670000553131104,412,2023-11
2023-11-03,3.674499988555908,357,2023-11
2023-11-06,3.7095000743865967,368,2023-11
2023-11-07,3.6700000762939453,313,2023-11
2023-11-08,3.628000020980835,435,2023-11
2023-11-09,3.634999990463257,363,2023-11
2023-11-10,3.5834999084472656,493,2023-11
2023-11-13,3.6624999046325684,575,2023-11
2023-11-14,3.682499885559082,762,2023-11
2023-11-15,3.7174999713897705,383,2023-11
2023-11-16,3.7044999599456787,338,2023-11
2023-11-17,3.737499952316284,493,2023-11
2023-11-20,3.8125,377,2023-11
2023-11-21,3.814500093460083,466,2023-11
2023-11-22,3.7664999961853027,596,2023-11
2023-11-23,3.7790000438690186,596,2023-11
2023-11-24,3.7964999675750732,373,2023-11
2023-11-27,3.762500047683716,435,2023-11
2023-11-28,3.8010001182556152,32871,2023-11
2023-11-29,3.7860000133514404,6653,2023-11
2023-11-30,3.8289999961853027,2571,2023-11
2023-12-01,3.9089999198913574,2050,2023-12
2023-12-04,3.820499897003174,963,2023-12
2023-12-05,3.7725000381469727,971,2023-12
2023-12-06,3.7165000438690186,551,2023-12
2023-12-07,3.7844998836517334,721,2023-12
2023-12-08,3.819999933242798,421,2023-12
2023-12-11,3.7799999713897705,723,2023-12
2023-12-12,3.7860000133514404,808,2023-12
2023-12-13,3.7860000133514404,679,2023-12
2023-12-14,3.8884999752044678,1003,2023-12
2023-12-15,3.884999990463257,853,2023-12
2023-12-18,3.8480000495910645,464,2023-12
2023-12-19,3.8959999084472656,701,2023-12
2023-12-20,3.9014999866485596,638,2023-12
2023-12-21,3.9084999561309814,781,2023-12
2023-12-22,3.8954999446868896,547,2023-12
2023-12-26,3.8954999446868896,525,2023-12
2023-12-27,3.94350004196167,1283,2023-12
