Date,ZMW_per_USD,YearMonth
2016-11-21,0.10137874633073807,2016-11
2016-11-22,0.10273268818855286,2016-11
2016-11-23,0.10238873213529587,2016-11
2016-11-24,0.10173872113227844,2016-11
2016-11-25,0.10183092206716537,2016-11
2016-11-28,0.10198462009429932,2016-11
2016-11-29,0.10156924277544022,2016-11
2016-11-30,0.10168284922838211,2016-11
2016-12-01,0.10169215500354767,2016-12
2016-12-02,0.10229864716529846,2016-12
2016-12-05,0.10280027985572815,2016-12
2016-12-06,0.10273585468530655,2016-12
2016-12-07,0.10225994139909744,2016-12
2016-12-08,0.10220664739608765,2016-12
2016-12-09,0.10018333792686462,2016-12
2016-12-12,0.10208456218242645,2016-12
2016-12-13,0.10270631313323975,2016-12
2016-12-14,0.10232167690992355,2016-12
2016-12-15,0.10068871825933456,2016-12
2016-12-16,0.1015300527215004,2016-12
2016-12-19,0.10230912268161774,2016-12
2016-12-20,0.10215026140213013,2016-12
2016-12-21,0.10235729068517685,2016-12
2016-12-22,0.10238244384527206,2016-12
2016-12-23,0.10228399932384491,2016-12
2016-12-26,0.1022745817899704,2016-12
2016-12-27,0.10233110934495926,2016-12
2016-12-28,0.10236043483018875,2016-12
2016-12-29,0.1019960567355156,2016-12
2016-12-30,0.10247476398944855,2016-12
2017-01-02,0.1008959636092186,2017-01
2017-01-03,0.10114701092243195,2017-01
2017-01-04,0.10140959173440933,2017-01
2017-01-05,0.10194199532270432,2017-01
2017-01-06,0.10171180963516235,2017-01
2017-01-09,0.09987017512321472,2017-01
2017-01-10,0.09928514808416367,2017-01
2017-01-11,0.09868745505809784,2017-01
2017-01-12,0.10030291229486465,2017-01
2017-01-13,0.09990009665489197,2017-01
2017-01-16,0.1010468378663063,2017-01
2017-01-17,0.10133662819862366,2017-01
2017-01-18,0.10124429315328598,2017-01
2017-01-19,0.10109178721904755,2017-01
2017-01-20,0.1012565940618515,2017-01
2017-01-23,0.10241179913282394,2017-01
2017-01-24,0.10226726531982422,2017-01
2017-01-25,0.10178013145923615,2017-01
2017-01-26,0.10275908559560776,2017-01
2017-01-27,0.10229550302028656,2017-01
2017-01-30,0.10206268727779388,2017-01
2017-01-31,0.10186826437711716,2017-01
2017-02-01,0.10137874633073807,2017-02
2017-02-02,0.10174906253814697,2017-02
2017-02-03,0.10162601619958878,2017-02
2017-02-06,0.10180915147066116,2017-02
2017-02-07,0.10158678889274597,2017-02
2017-02-08,0.10212105512619019,2017-02
2017-02-09,0.10298237204551697,2017-02
2017-02-10,0.10182366520166397,2017-02
2017-02-13,0.10228504985570908,2017-02
2017-02-14,0.10130582749843597,2017-02
2017-02-15,0.10156098753213882,2017-02
2017-02-16,0.10371184349060059,2017-02
